ID,Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x17b2,CUS_0x4080,ra Alperx,6409,995-37-8920,Mechanic,29469.98,1231,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,11,3421.66,24.63965803,NA,Yes,69.68545857,59.82559612,!@9#%8,363.272112,Standard
0x17be,CUS_0x706a,Matt Falloonz,19,431-58-4893,Engineer,72559.36,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,21,1,1173.7,23.28213511,27 Years and 11 Months,No,215.8391706,565.7433853,Low_spent_Large_value_payments,116.8787774,Standard
0x17ca,CUS_0x42ac,Lawrencea,36,700-60-3660,Musician,15566.02,8,5,32,4,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",16,1338,7,1693.95,37.40993372,7 Years and 10 Months,Yes,43.0705196,65.98658552,Low_spent_Small_value_payments,323.2597282,Poor
0x17d6,CUS_0x571f,Emily Flitterl,18,397-28-9675,Developer,66567.32,5,7,5,2,"Mortgage Loan, and Not Specified",7,15,1618,233.79,34.45627234,24 Years and 3 Months,No,37602,251.6474222,Low_spent_Small_value_payments,518.1908835,Standard
0x17e2,CUS_0xb5ff,Nateg,32,060-81-1328,Media_Manager,12909.895,5,5,13,0,,22,14,1,602.5,31.35686818,17 Years and 1 Months,No,0,20.44668059,Low_spent_Large_value_payments,334.9357777,Standard
0x17ee,CUS_0x6a1b,Toonkeln,849,252-50-2326,Accountant,30788.44,7,9,31,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",49,,9,3470.08,24.61673534,1 Years and 2 Months,Yes,114.5330209,232.1388168,Low_spent_Large_value_payments,185.6984956,Standard
0x17fa,CUS_0x9bc1,Jaisinghanij,42,445-18-4420,Architect,20574.47,6,3,14,4,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",6,,6,749.95,25.82415682,10 Years and 11 Months,NM,49.34866632,145.900478,Low_spent_Small_value_payments,268.8047724,Standard
0x1806,CUS_0xc65,Pomeroyi,21,473-91-5845,Lawyer,148699.32,3,4,748,3,"Personal Loan, Mortgage Loan, and Payday Loan",13,8,1,949.38,41.68721335,30 Years and 7 Months,No,364.9151774,296.1518279,High_spent_Large_value_payments,822.1939947,Good
0x1812,CUS_0xaedb,Olivia Oranr,19,272-47-1135,Musician,85554.03,4,2,3,0,,12,7,3,1095.73,33.43437152,19 Years and 7 Months,No,0,162.9955862,High_spent_Large_value_payments,795.5546638,Good
0x181e,CUS_0x8e9b,Rachelle Younglaic,15,925-51-5335,Entrepreneur,55829.79,10,10,18,8_,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",30,20,11,3422.49,27.07054347,NA,Yes,314.9017853,348.7994885,Low_spent_Small_value_payments,63.24697621,Standard
0x182a,CUS_0x609d,,27,911-47-6879,Architect,19717385,7,10,33,9,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",59,,11,2797.17_,25.31433886,13 Years and 11 Months,Yes,58.86844084,60.55078556,High_spent_Small_value_payments,246.3243569,Standard
0x1836,CUS_0x75c6,"""John ODonnell""p",30,587-65-8904,Teacher,87215.68,2,6,8,2,"Auto Loan, and Payday Loan",2,,0,680.77,35.12551976,20 Years and 8 Months,No,121.6820167,__10000__,Low_spent_Large_value_payments,333.2919819,Good
0x1842,CUS_0x9b3c,Scheydere,43,224-48-7837,Lawyer,81842.28,10,9,25,9,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",20,19,9,3053.16,39.43016631,0 Years and 4 Months,NM,574.0657979,162.5887242,High_spent_Medium_value_payments,194.364478,Standard
0x184e,CUS_0x22a3,Nate Raymondj,38,477-90-5881,Doctor,95956.5,8,4,11,-100,"Personal Loan, and Student Loan",18,10,2,1079.73,33.77692753,31 Years and 7 Months,No,95.52162878,,High_spent_Large_value_payments,884.9056903,Standard
0x185a,CUS_0xb14,,25,#F%$D@*&8,Manager,49967.01,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,11,2253.95,28.87573769,16 Years and 10 Months,Yes,156.0033117,66.93199535,High_spent_Large_value_payments,426.256443,Poor
0x1866,CUS_0xb986,Simon Jessope,14,180-88-7800,Developer,39887.22,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,21,10,3119.6,30.18805936,12 Years and 5 Months,Yes,133.4708452,198.9967508,Low_spent_Medium_value_payments,270.025904,Poor
0x1872,CUS_0xbe1b,Kazunorit,43,853-17-1579,Developer,14129.76,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,17,6,4071.62,36.1372924,12 Years and 7 Months,Yes,81.71265501,124.4459203,Low_spent_Small_value_payments,185.0894247,Poor
0x187e,CUS_0x9ce6,Ekr,42,101-11-3105,Developer,123732.32,4,3,11,0,,15,8,3,1154.46,43.36806475,27 Years and 3 Months,No,0,,High_spent_Medium_value_payments,940.3944828,Good
0x188a,CUS_0x6ffb,Herbert Lashb,36,716-35-4628,Writer,17251.38,6,514,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",8,13,6,2431.64,29.41972183,11 Years and 4 Months,Yes,57.35116519,,Low_spent_Small_value_payments,273.3735401,Standard
0x1896,CUS_0x4315,Christophd,22,908-69-0212,Entrepreneur,36822.29,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,19,4,125.25,26.61287178,NA,No,81441,121.4083759,Low_spent_Small_value_payments,386.0433278,Standard
0x18a2,CUS_0x3f5b,Mikeh,25,744-11-7914,Doctor,80108.31,5,3,17,0,,25,19,1,997.28,38.73267646,17 Years and 7 Months,Yes,0,107.0656525,!@9#%8,829.6035975,Standard
0x18ae,CUS_0x9d78,Tim Hepherp,20,423-77-6457,Scientist,69977.6,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,11,3042.36,37.2171993,12 Years and 8 Months,Yes,485.750431,405.1493636,Low_spent_Small_value_payments,,Standard
0x18ba,CUS_0x47db,Granto,16,507-34-4117,Musician,78988.48,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,9,1746.9,34.70500518,10 Years and 1 Months,Yes,291.7827603,88.07126674,High_spent_Medium_value_payments,515.0833063,Poor
0x18c6,CUS_0x8f17,Ermans,45,794-17-4490,Journalist,41746.76,8,5,5261,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,8,1936.79,37.70526076,19 Years and 1 Months,Yes,102.2833975,425.1038222,Low_spent_Small_value_payments,127.8024469,Poor
0x18d2,CUS_0x7d0b,Isabel Reynoldsb,21,226-77-0587,Media_Manager,19981.6,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,,12,4834.59,38.16554553,10 Years and 2 Months,NM,78.41827155,69.78240333,Low_spent_Small_value_payments,287.7126585,Standard
0x18de,CUS_0x7504,Laup,18,389-89-4542,_______,73737.36,7,3,18,4_,"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",20,,2,1219.39,34.50073214,31 Years and 1 Months,Yes,214.8134632,77.2660256,High_spent_Large_value_payments,541.5985112,Standard
0x18ea,CUS_0x774,Christopher Doeringv,33,761-11-3016,Musician,88362.46,5,2,8,3,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",17,5,4,325.93,26.64350552,NA,No,211.1843903,185.3272952,High_spent_Large_value_payments,569.0421478,Good
0x18f6,CUS_0x9f70,Michelley,45,147-76-6929,Entrepreneur,118248.6,5,1,4,0,,13,10,4,191.09,29.14953015,17 Years and 1 Months,NM,0,227.6187415,High_spent_Large_value_payments,1023.886258,Good
0x1902,CUS_0xab76,Stempelp,26,878-90-6321,Scientist,60162.1,5,7,5,7,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",18,10,7,1037.45,36.35924552,13 Years and 2 Months,Yes,220.2137267,80.01264638,High_spent_Medium_value_payments,469.5244602,Standard
0x190e,CUS_0x5cdf,Wohli,17,616-36-8188,Musician,75273.24,8,943,32,5,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",50,9,6,2497.34,33.59482507,5 Years and 2 Months,NM,222.6190561,124.6322882,High_spent_Large_value_payments,548.0256556,Standard
0x191a,CUS_0x2184,Goldsteinv,18,496-44-5947,Media_Manager,54820.89,8,7,28,6,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",36,20,8,4795.13,35.80248914,2 Years and 11 Months,Yes,169.4819843,479.5857747,Low_spent_Small_value_payments,70.47299093,Standard
0x1926,CUS_0xa156,Silvia Aloisiq,42,405-46-7599,Entrepreneur,58674.66,8,5,15,4,"Not Specified, Payday Loan, Auto Loan, and Home Equity Loan",57,23,,2425.38,37.340892,13 Years and 1 Months,Yes,116.1034169,121.3798305,!@9#%8,484.9722526,Poor
0x1932,CUS_0x74f2,Colew,30,755-18-0308,Architect,30390.44,5,6,5,4,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",19,20,,580.31,26.97596095,24 Years and 3 Months,No,64.84803821,__10000__,High_spent_Medium_value_payments,407.2936282,Standard
0x193e,CUS_0x308b,Longstrethy,42,547-23-7195,Doctor,45207.54,8,8,24,6,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",21,20,9,2497.48,26.63171974,16 Years and 4 Months,Yes,148.9132734,39.83022939,!@9#%8,401.9859972,Poor
0x194a,CUS_0x2827,Lisah,-500,486-07-1289,Scientist,144546.72,0,3,7,2,"Payday Loan, and Not Specified",15,7,1,1045.11,40.84068721,22 Years and 11 Months,No,136.9885566,573.4115905,High_spent_Small_value_payments,730.5558529,Standard
0x1956,CUS_0xa295,Patrick Temple-Westf,38,605-63-9678,Engineer,30346.35,5,4,14,7_,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",27,9,5,523.56,28.21235656,8 Years and 4 Months,Yes,96.72128021,145.1083749,Low_spent_Small_value_payments,313.3565949,Standard
0x1962,CUS_0x6c2e,Dowsettk,46,558-25-1337,Mechanic,18681.465,2,3,9,2,"Home Equity Loan, and Student Loan",6,8,1,327.88,27.53134292,30 Years and 9 Months,No,24.82142498,52.09642061,!@9#%8,351.5610294,Standard
0x196e,CUS_0x384c,David Henryp,41,813-91-8749,Scientist,9841.34,8,9,31,5,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",61,16,8,4984.82,27.3346898,4 Years and 5 Months,Yes,36.67512792,,Low_spent_Large_value_payments,263.003361,Standard
0x197a,CUS_0x6cbb,Oreskovicv,35,308-38-8791,Media_Manager,72330.98,0,262,11,1,Auto Loan,1,7,1,596.78,31.87384175,32 Years and 8 Months,No,31.37979416,390.5462005,Low_spent_Medium_value_payments,488.132172,Good
0x1986,CUS_0x36ab,Svea Herbst-Baylisss,1032,925-44-1671,Teacher,43241.49,10,7,30,6,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",36,17,10,2174.16,39.78232874,12 Years and 2 Months,Yes,162.2389631,410.1902491,Low_spent_Small_value_payments,75.61653778,Standard
0x1992,CUS_0x6649,Slaterf,19,548-03-9919,_______,34106.78,8,5,17,0,,8,,0,996.54,31.06392082,31 Years and 11 Months,Yes,0,115.1517373,Low_spent_Small_value_payments,451.5714293,Standard
0x199e,CUS_0x6856,Gellerp,24,251-77-0979,Teacher,129067.59,1,3,1,4_,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",9,5,0,137.15,24.49869173,26 Years and 7 Months,No,389.3056725,215.2174879,High_spent_Large_value_payments,715.0400896,Good
0x19aa,CUS_0xa27e,Papadimaso,34,898-94-0497,Architect,17001.34,6,5,5,1,Home Equity Loan,11,20,0,1093.87,31.55554039,NA,No,10.53555561,97.55551351,Low_spent_Medium_value_payments,293.3867642,Standard
0x19b6,CUS_0x700d,Blenkinsopc,21,992-49-2793,Accountant,44719.17,6,6,29,7,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",41,19,11,3818.57_,30.98237348,12 Years and 11 Months,Yes,248.5998859,130.2512251,High_spent_Medium_value_payments,268.1086391,Poor
0x19c2,CUS_0x78e0,Tagarish,47,352-67-4436,Accountant,17787.34,8,4,16,2,"Student Loan, and Auto Loan",0,15,0,730.9,26.99358623,29 Years and 9 Months,No,20.06363388,42.29858803,High_spent_Small_value_payments,321.8656114,Standard
0x19ce,CUS_0x6794,Raymondl,-500,204-14-2702,Teacher,103353.06,3,3,6,1,Student Loan,4,9,2,1374.56,32.6855216,25 Years and 7 Months,No,64.00168567,,High_spent_Medium_value_payments,857.8262026,Good
0x19da,CUS_0xe2c,Andreasc,38,755-51-7133,Journalist,31021.24,7,7,11,4,"Auto Loan, Auto Loan, Auto Loan, and Personal Loan",16,21,4,852.81,31.19439865,32 Years and 10 Months,No,90.75917846,68.51358027,High_spent_Medium_value_payments,366.3375746,Standard
0x19e6,CUS_0x36bb,Elinor Comlaye,36,837-45-5178,Journalist,134978.24,8,5,15,2,"Mortgage Loan, and Mortgage Loan",9,16,3,668.14,36.59328467,26 Years and 2 Months,NM,145.1118234,834.1444379,Low_spent_Medium_value_payments,406.6624054,Standard
0x19f2,CUS_0xa77f,,28_,074-21-6507,Writer,39800.12,7,5,12,3,"Personal Loan, Payday Loan, and Auto Loan",17,18,4,660.69,24.79435667,17 Years and 9 Months,Yes,58.48765734,404.2182245,Low_spent_Small_value_payments,132.0617849,Standard
0x19fe,CUS_0x1e70,Alexh,17,772-58-9547,Manager,14841.35_,6,5,17,7,"Mortgage Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Student Loan",60,16,6,3865.15,39.02987341,NA,Yes,71.54474307,110.7777796,Low_spent_Small_value_payments,251.455394,Standard
0x1a0a,CUS_0xa335,Lisa Baertleink,21,835-41-6871,Architect,66105.4,6,8,31,5_,"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",26,22,9,1549.56,30.11104031,11 Years and 2 Months,Yes,214.0721231,180.1468487,High_spent_Small_value_payments,431.1593616,Standard
0x1a16,CUS_0x71e0,Aruna Viswanathau,28,330-96-0638,Mechanic,15398.95,1,7,5,4,"Student Loan, Mortgage Loan, Not Specified, and Not Specified",1,2,3,343.84,36.74315458,28 Years and 3 Months,No,34.81396986,81.67810682,High_spent_Small_value_payments,298.3325067,Standard
0x1a22,CUS_0x4af0,Nicolacih,18,397-45-5329,Developer,27070.07,7,3,11,4,"Home Equity Loan, Credit-Builder Loan, Student Loan, and Personal Loan",12,15,1,919.76,28.55585041,29 Years and 2 Months,No,73.23331848,76.31458795,High_spent_Small_value_payments,362.3360102,Standard
0x1a2e,CUS_0x3861,Fiona Ortizx,53_,212-32-2085,Engineer,17992.775,3,5,6,-100,,5,9,2,565.22,22.38039887,18 Years and 11 Months,No,0,88.44275347,!@9#%8,348.4970382,Poor
0x1a3a,CUS_0x240d,Taiga Uranakan,55,087-22-6137,Musician,139354.48,3,1247,18,0,,17,18,3,519.3,32.7110284,19 Years and 11 Months,No,0,382.2110719,High_spent_Medium_value_payments,1031.076261,Standard
0x1a46,CUS_0x2652,,22,062-29-3192,Teacher,18305.25,2,1,4,0,,14,11,2,363.51,34.8352811,NA,No,0,73.87955399,Low_spent_Medium_value_payments,361.864196,Good
0x1a52,CUS_0x259a,Allison Martelly,25,727-40-9990,Journalist,27865.26,4,3,6,1,Student Loan,22,18,5,635.59,27.14233426,30 Years and 4 Months,Yes,17.69844332,213.439601,Low_spent_Small_value_payments,319.4724557,Standard
0x1a5e,CUS_0x28b5,Stempeln,36,016-73-2103,Architect,23404.86,6,5,7,0,,14,17,5,35.54,34.05823767,28 Years and 7 Months,Yes,0,84.46263179,Low_spent_Large_value_payments,375.4778682,Standard
0x1a6a,CUS_0x8643,Steve Slatery,33,198-08-9791,Musician,14205.09,7,10,21,8,"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",33,18,12,4845.24,32.31373815,NA,Yes,49.03239547,47.62770058,Low_spent_Small_value_payments,302.015654,Poor
