Access Code,Name,Gender,Age,Height,Initial Weight,Lowest Weight,Target Weight,Product Name,Status,Price,Purchased At,Payment Type,Channel
LP7OHA42,안서우,FEMALE,30.0,167.0,63.5,63.4,57.0,눔 체중감량 프로그램,completed,112500,2017-03-29 13:35:57.672000,Recurring,facebook
FJSTM98I,정지현,FEMALE,27.0,167.0,65.8,,61.193999999999996,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-25 14:14:20.144000,Recurring,facebook
G4VXSSP3,조슬은,FEMALE,23.0,159.0,65.0,61.0,45.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-30 21:35:18.728000,Recurring,others
VFXF1G53,문세민,FEMALE,25.0,161.0,48.5,46.5,45.36175,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-11 23:47:54.744000,Recurring,others
Z6D4QC4N,양채솔,FEMALE,22.0,165.0,66.1,,56.1,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-09 02:51:00.120000,Recurring,facebook
A61CXZBB,권성희,FEMALE,30.0,163.0,78.5,77.5,70.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-16 21:04:13.144000,Recurring,facebook
8Z1PV3S9,한지아,FEMALE,35.0,163.0,57.0,,49.0,눔 체중감량 프로그램 (천원 체험),refunded,112500,2017-08-31 16:56:38.624001,Recurring,facebook
A87BXGTI,전슬윤,FEMALE,27.0,170.0,68.0,60.8,52.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-15 18:58:08.856000,Recurring,email
4X7L3N7Q,강지애,FEMALE,24.0,162.0,71.0,70.6,66.03,눔 체중감량 프로그램,completed,112500,2017-04-16 13:44:20.592000,Recurring,facebook
PYEYV5F4,양지은,FEMALE,31.0,164.0,59.9,,55.70700073,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-23 11:56:39.432000,Recurring,facebook
N67TYB3D,권선정,FEMALE,26.0,162.0,83.0,81.6,59.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-21 09:27:47.712000,Recurring,facebook
BDNMH06U,오지영,FEMALE,25.0,163.0,67.6,72.0,48.99999809,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-04 07:53:46.304000,Recurring,facebook
L02H0RJM,문초영,FEMALE,25.0,163.0,62.0,59.6,52.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-15 14:03:26.704000,Recurring,email
L6HBLXR9,고지율,MALE,23.0,180.0,83.0,,77.19,눔 체중감량 프로그램,completed,112500,2017-05-02 00:06:31.904000,Recurring,google
71UFR10M,신서은,FEMALE,25.0,157.0,58.0,,53.93999863,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-26 14:09:27.848000,Recurring,facebook
HBWN6WKY,백설영,FEMALE,32.0,163.0,56.0,56.0,51.15,눔 체중감량 프로그램,cancelled,112500,2017-03-14 15:56:10.184000,Recurring,facebook
SDB0JD2T,전지안,FEMALE,27.0,162.0,84.6,,78.67800140000001,눔 체중감량 프로그램,completed,112500,2017-04-18 19:55:11.208000,Recurring,facebook
SELI52Q1,문초윤,FEMALE,23.0,161.0,56.0,56.0,50.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-05 23:45:58.400000,Recurring,facebook
O4OWMJG7,오세윤,FEMALE,23.0,-1.0,58.0,57.0,47.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-20 20:20:03.880000,Recurring,facebook
57W10VIH,허채우,FEMALE,21.0,163.0,68.0,67.0,63.24,눔 체중감량 프로그램 (천원 체험),cancelled,68900,2017-08-11 01:44:50.112000,Recurring,facebook
W66XIBPR,손선이,FEMALE,37.0,158.0,69.7,,64.82099915,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-11 21:29:20.824000,Recurring,facebook
Y2EQ6I1Y,신지율,MALE,25.0,182.0,84.8,,78.86401,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-19 17:47:04.128000,Recurring,facebook
F9MES5MW,최소현,,,,,,,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-30 23:28:27.032000,Recurring,facebook
9YKKZL7G,류서애,FEMALE,28.0,167.0,65.0,62.1,52.0,눔 체중감량 프로그램,completed,112500,2017-03-10 17:09:08.280000,Recurring,facebook
C6SIE8AP,송세민,FEMALE,25.0,166.0,100.0,98.0,93.0,눔 체중감량 프로그램,completed,112500,2017-05-10 18:22:41.136000,Recurring,facebook
OMPJG711,송솔아,FEMALE,27.0,156.0,58.0,52.3,48.0,눔 체중감량 프로그램,completed,44780,2017-04-25 08:12:56.296000,Recurring,others
KR7ZUISV,권채아,FEMALE,26.0,165.0,79.0,76.9,73.47,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-13 10:02:10.784000,Recurring,others
J9ANAYK8,류승연,MALE,25.0,172.0,61.1,,57.1,눔 체중감량 프로그램 (천원 체험),completed,68900,2017-07-19 23:04:42.032000,Recurring,facebook
YSQVED6O,조슬영,FEMALE,27.0,163.0,90.0,82.2,70.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-14 11:29:23.736000,Recurring,email
1YPIFCUU,류소연,FEMALE,40.0,163.0,56.5,56.5,52.545,눔 체중감량 프로그램 (천원 체험),cancelled,132000,2017-08-24 02:51:29.872000,Recurring,email
JH9DEK3D,오솔민,FEMALE,22.0,163.0,83.1,83.1,56.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-29 10:56:32.984000,Recurring,facebook
EK2J7K4H,박솔희,FEMALE,29.0,163.0,55.6,55.6,51.708,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-07 08:58:46.272000,Recurring,others
467U7YNV,서성은,FEMALE,22.0,163.0,77.4,,71.98200226,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-23 08:52:28.656000,Recurring,facebook
F1HVDTF4,한채이,FEMALE,23.0,155.0,64.0,64.0,59.52,눔 체중감량 프로그램,completed,112500,2017-03-21 22:20:25.080000,Recurring,facebook
XOON30QW,신동인,MALE,29.0,180.0,82.0,79.6,79.0,눔 체중감량 프로그램,completed,44780,2017-05-10 10:06:23.240000,Recurring,naver
GW6O8VHY,최지효,FEMALE,27.0,152.0,60.0,62.8,45.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-24 09:00:26.016000,Recurring,facebook
PM03647G,배슬비,FEMALE,28.0,160.0,83.0,78.7,77.19000244,눔 체중감량 프로그램,cancelled,44780,2017-04-13 11:41:02.312000,Recurring,facebook
QBSY7YH0,오주훈,MALE,34.0,181.0,80.0,79.2,75.0,눔 체중감량 프로그램,completed,112500,2017-05-12 19:06:28.256000,Recurring,facebook
XGTCUKFW,손지혜,FEMALE,26.0,157.0,63.3,61.5,52.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-06 18:08:32.696000,Recurring,email
I8UUGPGG,허채이,FEMALE,26.0,165.0,71.4,73.0,66.402,눔 체중감량 프로그램 (천원 체험),cancelled,68900,2017-06-02 12:08:08.928000,Recurring,naver
7R2RZEQ5,신채혁,MALE,28.0,168.0,69.0,67.7,58.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-27 12:22:02.392000,Recurring,google
Y76GKF9I,임세연,FEMALE,24.0,163.0,83.0,76.0,77.19,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-28 11:49:02.208000,Recurring,facebook
AR2DO3HW,송서애,FEMALE,22.0,163.0,69.0,69.0,64.16999817,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-26 23:08:06.016000,Recurring,naver
D76BFB92,문소은,FEMALE,23.0,167.0,68.2,,58.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-07 11:43:41.952000,Recurring,naver
12GNEHGC,박초영,FEMALE,27.0,156.0,52.0,,45.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-26 22:42:42.384000,Recurring,facebook
TYEASGVW,홍소율,FEMALE,26.0,160.0,60.0,58.0,50.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-18 18:42:35.280000,Recurring,facebook
GH4SPBP7,윤우준,MALE,31.0,187.0,89.5,87.8,74.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-05-11 12:24:54.976000,Recurring,facebook
D59O21LH,안슬민,FEMALE,28.0,158.0,51.1,50.4,47.0,눔 체중감량 프로그램,completed,112500,2017-04-22 23:30:26.128000,Recurring,others
640TRSV3,송서애,FEMALE,25.0,153.0,52.3,52.0,45.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-17 00:25:17.368000,Recurring,facebook
ARJOF5CJ,박채빈,FEMALE,36.0,165.0,54.8,52.7,50.964,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-16 08:24:55.240000,Recurring,facebook
3HT1S53T,손지안,FEMALE,25.0,172.0,66.9,57.2,62.217,눔 체중감량 프로그램,completed,112500,2017-04-03 15:46:56.232000,Recurring,facebook
SQW7J80S,허수이,FEMALE,22.0,166.0,78.0,75.0,72.54000092,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-22 00:09:54.856000,Recurring,facebook
7UE78LUN,손슬윤,FEMALE,28.0,167.0,70.0,68.9,60.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-19 22:26:33.864000,Recurring,others
DS5OXOQ6,황채설,FEMALE,25.0,165.0,53.0,49.8,49.0,눔 체중감량 프로그램,cancelled,44780,2017-04-12 14:35:34.304000,Recurring,google
G0ES698N,백성희,FEMALE,25.0,157.0,58.0,54.6,50.0,눔 체중감량 프로그램,cancelled,44780,2017-05-12 10:40:56.384000,Recurring,direct
DD8PSBUM,송수이,FEMALE,37.0,165.0,57.8,57.0,52.0,눔 체중감량 프로그램,completed,112500,2017-04-24 08:53:04.648000,Recurring,others
0Y86CYOJ,박채민,FEMALE,26.0,156.0,79.7,,74.12099457,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-17 04:37:17.872000,Recurring,facebook
ITXGDMOG,이채하,FEMALE,25.0,157.0,61.0,56.5,50.0,눔 체중감량 프로그램,cancelled,112500,2017-05-23 20:05:27.016000,Recurring,others
7N78AFKU,황선영,FEMALE,21.0,163.0,59.0,,49.09999847,눔 체중감량 프로그램 (천원 체험),refunded,112500,2017-08-22 20:13:37.016000,Recurring,naver
7PKV5ST3,홍수희,FEMALE,30.0,170.0,61.5,61.4,57.15999985,눔 체중감량 프로그램 (천원 체험),refunded,112500,2017-08-28 23:57:05.792000,Recurring,facebook
219SU87C,최채설,FEMALE,25.0,162.0,54.0,52.7,47.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-23 10:42:02.304000,Recurring,facebook
ITH61BBV,전선이,FEMALE,25.0,170.0,93.3,88.2,86.76900482,체중관리 환급 패키지 (천원 체험),cancelled,137800,2017-06-02 07:27:15.800000,Recurring,facebook
KPZ6AV6L,최슬희,FEMALE,19.0,164.0,58.6,58.6,54.6,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-06 00:01:33.184000,Recurring,facebook
NZ0XLD2V,송초영,FEMALE,27.0,166.0,77.7,76.1,62.0,눔 체중감량 프로그램,cancelled,112500,2017-04-17 22:23:15.712000,Recurring,facebook
H3KPU99L,김수지,FEMALE,28.0,171.0,80.0,81.2,59.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-09 18:32:26.152000,Recurring,naver
RDZYYEGX,정수인,FEMALE,21.0,167.0,80.0,72.0,58.0,눔 체중감량 프로그램,cancelled,112500,2017-05-12 16:42:37.304000,Recurring,instagram
DPTM3D32,한세빈,FEMALE,22.0,163.0,56.4,,52.452,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-08 03:53:28.752000,Recurring,facebook
OZYW94EK,윤수정,FEMALE,43.0,169.0,64.0,,59.52,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-23 00:00:36.576000,Recurring,facebook
A1KZPCA2,신선아,FEMALE,21.0,160.0,57.5,57.5,53.475,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-07 13:15:50.688000,Recurring,facebook
KZ6G7E5B,"한지후,지혁",MALE,35.0,181.0,92.0,,72.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-29 16:55:52.064000,Recurring,others
QRMQGM68,박설영,FEMALE,22.0,158.0,49.0,46.5,45.57,눔 체중감량 프로그램 (천원 체험),refunded,68900,2017-07-19 00:10:25.224000,Recurring,facebook
79T08SL6,안슬희,FEMALE,21.0,171.0,63.4,63.4,58.962001799999996,눔 체중감량 프로그램,cancelled,44780,2017-05-08 02:58:47.784000,Recurring,others
16UDTOG2,송지선,FEMALE,34.0,151.0,58.0,60.0,48.0,눔 체중감량 프로그램,cancelled,44780,2017-03-08 23:31:30.608000,Recurring,facebook
V910BN81,서서주,FEMALE,20.0,158.0,55.0,,51.15000153,눔 체중감량 프로그램 (천원 체험),completed,68900,2017-08-13 07:02:22.928000,Recurring,facebook
0HM6EY2E,유승혜,FEMALE,30.0,165.0,54.0,53.3,50.22000122,눔 체중감량 프로그램,cancelled,112500,2017-05-08 22:45:41.992000,Recurring,others
WNF8S9TI,최지희,FEMALE,22.0,165.0,67.0,67.0,53.0,눔 체중감량 프로그램 (천원 체험),completed,68900,2017-08-17 13:32:44.080000,Recurring,facebook
7GW9N0CU,서서아,FEMALE,28.0,163.0,76.0,,70.68000031,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-04 22:56:42.200000,Recurring,facebook
ULZ145GI,손승윤,FEMALE,38.0,161.0,65.7,65.7,61.10099792,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-28 15:58:10.640000,Recurring,naver
N828TCZ8,오솔비,FEMALE,22.0,159.0,52.4,,45.4,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-01 18:16:12.760000,Recurring,facebook
FSYK0YJL,배수희,FEMALE,30.0,162.0,61.5,59.3,57.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-12 13:08:36.648000,Recurring,email
0QKFV7N4,홍지율,FEMALE,27.0,166.0,96.2,96.0,89.46599579,눔 체중감량 프로그램,cancelled,112500,2017-05-01 22:40:09.192000,Recurring,facebook
AWB68PSL,조초민,FEMALE,48.0,165.0,52.0,52.0,48.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-02 17:04:18.240000,Recurring,google
783C8MF6,정지예,FEMALE,20.0,152.0,52.8,,45.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-14 11:05:22.272000,Recurring,facebook
121Y94CT,한소희,FEMALE,31.0,166.0,73.5,69.0,68.355,눔 체중감량 프로그램,cancelled,112500,2017-04-18 08:30:41.256000,Recurring,naver
QBC6XD9Y,고승혁,MALE,35.0,176.0,102.2,105.4,108.09999850000001,눔 체중감량 프로그램,completed,44780,2017-05-10 14:43:02.200000,Recurring,facebook
G1GXHMTO,윤채하,FEMALE,23.0,160.0,54.9,,51.05700302,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-09 22:23:27.424000,Recurring,facebook
CGHFJ726,박채유,FEMALE,43.0,162.0,82.5,82.0,70.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-26 22:41:33.920000,Recurring,facebook
48OHR30T,강초윤,FEMALE,32.0,166.0,56.7,56.7,52.73100281,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-20 13:42:41.720000,Recurring,facebook
0P1U681N,문채율,FEMALE,25.0,161.0,48.5,46.5,45.36175,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-11 23:28:56.744000,Recurring,others
LDRU448C,박소현,FEMALE,30.0,155.0,48.0,46.0,44.64,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-13 13:02:17.080000,Recurring,facebook
78CRX43T,안지혜,FEMALE,32.0,162.0,75.5,,70.21500397,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-21 09:48:02.704000,Recurring,facebook
HQFOUJB0,문서현,FEMALE,47.0,163.0,61.4,60.3,57.10200119,눔 체중감량 프로그램,completed,44780,2017-04-07 00:13:28.904000,Recurring,facebook
QEM9BICD,허채빈,FEMALE,21.0,167.0,101.0,100.0,93.93000031,눔 체중감량 프로그램,completed,112500,2017-04-16 04:03:11.632000,Recurring,facebook
YCAREF8A,백승윤,FEMALE,24.0,160.0,46.0,,44.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-13 19:06:02.296000,Recurring,facebook
H6RXU1B6,오효준,MALE,29.0,167.0,74.0,,68.82,눔 체중감량 프로그램,cancelled,112500,2017-05-15 11:46:01.336000,Recurring,others
C4JJ6UEL,송지선,FEMALE,24.0,168.0,60.0,,57.0,눔 체중감량 프로그램,cancelled,44780,2017-05-07 21:26:03.312001,Recurring,facebook
YBIXGSC0,서지연,FEMALE,29.0,163.0,71.5,66.94,67.332,눔 체중감량 프로그램,completed,112500,2017-04-11 13:09:31.920000,Recurring,others
ODXWELGM,신슬은,FEMALE,26.0,163.0,58.2,55.0,51.5,눔 체중감량 프로그램,cancelled,112500,2017-03-20 18:37:00.880000,Recurring,facebook
ANRC3K5L,허은섭,MALE,26.0,188.0,90.5,88.3,82.0,눔 체중감량 프로그램,cancelled,112500,2017-05-11 23:02:18.400000,Recurring,naver
0U8D1J45,유성아,FEMALE,26.0,160.0,54.0,54.0,47.1,눔 체중감량 프로그램,completed,112500,2017-05-03 21:40:03.640000,Recurring,naver
KH2ZDIHL,배승윤,FEMALE,30.0,155.0,53.5,52.0,46.0,눔 체중감량 프로그램,cancelled,112500,2017-03-30 13:21:51.352000,Recurring,facebook
KVFI18C8,이세희,FEMALE,26.0,157.0,60.0,,45.0,눔 체중감량 프로그램,completed,112500,2017-04-09 14:59:32.784000,Recurring,naver
RDBNEGO2,서솔희,FEMALE,20.0,164.0,82.1,,59.99999809,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-07 20:56:37.144000,Recurring,direct
KRBG0MSJ,이채연,FEMALE,26.0,160.0,61.5,,53.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-02 05:15:20.656000,Recurring,facebook
GN4RTMY5,유서안,FEMALE,17.0,173.0,66.0,64.3,48.0,눔 체중감량 프로그램,cancelled,112500,2017-05-08 00:39:26.688000,Recurring,facebook
XC16WAGQ,백서은,FEMALE,19.0,167.0,61.0,,56.73,눔 체중감량 프로그램,cancelled,112500,2017-05-17 21:12:47.592000,Recurring,naver
X3OI48N7,장채정,FEMALE,33.0,163.0,60.0,,55.8,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-27 21:03:58.776000,Recurring,others
05XGJS83,조승예,FEMALE,45.0,165.0,66.5,66.4,61.84500122,눔 체중감량 프로그램,completed,112500,2017-05-01 22:51:18.960000,Recurring,facebook
C7O23YMP,조슬비,FEMALE,20.0,162.0,67.0,,55.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-29 13:30:04.048000,Recurring,email
U47J0UDD,오승이,FEMALE,34.0,172.0,70.0,,55.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-25 14:15:02.400000,Recurring,naver
QI3W7A0J,고슬영,FEMALE,26.0,167.0,64.0,,59.52000046,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-18 10:45:48.728000,Recurring,others
3KCCXEXF,허세민,FEMALE,30.0,154.0,52.5,45.000040000000006,42.0,눔 체중감량 프로그램,cancelled,44780,2017-04-12 03:32:24.112000,Recurring,facebook
6OXC9RZ5,고성진,MALE,28.0,168.0,69.0,67.7,58.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-27 12:15:15.392000,Recurring,google
KQNA9JDO,백서안,FEMALE,26.0,175.0,60.1,,53.99999857,눔 체중감량 프로그램,cancelled,44780,2017-04-25 09:34:01.600000,Recurring,others
VLYF3BVR,홍채민,FEMALE,26.0,164.0,71.0,69.7,66.03000021,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-05-28 12:06:41.264000,Recurring,naver
REUUZI2Z,강태윤,MALE,28.0,168.0,85.0,85.0,65.0,눔 체중감량 프로그램,completed,112500,2017-05-03 21:30:00.400000,Recurring,naver
UVHBJPLN,조지아,FEMALE,24.0,162.0,57.0,55.0,47.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-07 18:22:53.888000,Recurring,facebook
M6PAGHJV,배서혜,FEMALE,19.0,158.0,83.0,80.5,48.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-16 10:32:15.592000,Recurring,facebook
KHFGECED,문서진,FEMALE,24.0,156.0,51.1,,47.0,눔 체중감량 프로그램 (천원 체험),cancelled,68900,2017-08-22 17:02:27.704000,Recurring,facebook
JCC0AKNL,임서연,FEMALE,21.0,155.0,74.9,,69.65700531,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-06 09:45:29.248000,Recurring,others
H0WY6VUD,황세율,FEMALE,37.0,163.0,67.0,,58.0,눔 체중감량 프로그램,completed,112500,2017-05-25 08:32:35.600001,Recurring,facebook
8FZJX669,안소민,FEMALE,22.0,154.0,62.4,,58.0320015,눔 체중감량 프로그램,cancelled,44780,2017-03-23 00:12:16.952000,Recurring,facebook
QES1KKQ7,임수윤,FEMALE,24.0,153.0,61.0,,49.0,눔 체중감량 프로그램 (천원 체험),cancelled,68900,2017-06-01 20:01:14.920000,Recurring,facebook
UO4QVVOB,고슬영,FEMALE,22.0,165.0,75.5,,70.21500397,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-21 01:12:21.264000,Recurring,facebook
ZJ1TL43L,이승이,FEMALE,24.0,161.0,61.8,59.2,52.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-05 12:23:27.760000,Recurring,facebook
71688DIR,배슬은,FEMALE,20.0,155.0,56.0,,52.08000183,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-05 23:37:33.920000,Recurring,facebook
TFOCH2KY,오소민,FEMALE,18.0,168.0,85.0,74.5,82.0,눔 체중감량 프로그램,cancelled,112500,2017-04-15 17:13:07.672000,Recurring,naver
KOEL1US5,류찬 율,MALE,44.0,176.0,105.7,,88.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-30 14:12:31.888000,Recurring,naver
C36X6268,조수이,FEMALE,25.0,170.0,93.3,88.2,86.76900482,체중관리 환급 패키지 (천원 체험),completed,137800,2017-06-02 07:20:05.800000,Recurring,facebook
YGFMRAEG,조설연,FEMALE,25.0,160.0,77.8,77.0,71.61,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-31 00:26:48.632000,Recurring,facebook
DK8EDHF5,유설아,,,,,,,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-07-28 14:25:22.728000,Recurring,facebook
4WOJ5X20,이성아,FEMALE,22.0,164.0,68.0,60.5,55.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-02 23:13:57.328000,Recurring,facebook
ZXH510NF,권서주,,,,,,,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-12 11:12:43.352000,Recurring,email
0OIIREUZ,백선희,FEMALE,30.0,162.0,51.7,51.51,48.081,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-05-31 14:32:33.600000,Recurring,facebook
F7QOQOE5,조승빈,FEMALE,29.0,169.0,67.0,59.1,62.31000137,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-07 13:53:16.335999,Recurring,direct
H06QEG8W,손장우,MALE,23.0,177.0,77.0,76.5,68.0,눔 체중감량 프로그램 (천원 체험),completed,132000,2017-08-27 10:59:00.272000,Recurring,facebook
6OO2VNRJ,유승은,FEMALE,28.0,167.0,65.0,66.0,55.0,눔 체중감량 프로그램,completed,112500,2017-04-29 08:13:15.008000,Recurring,facebook
BEGM6E5U,신지혜,FEMALE,28.0,163.0,62.4,61.6,54.9,눔 체중감량 프로그램 (천원 체험),refunded,112500,2017-08-16 15:47:36.792000,Recurring,facebook
FFT0ACCG,문윤성,MALE,27.0,176.0,88.0,88.0,70.0,눔 체중감량 프로그램,completed,112500,2017-04-25 17:42:02.056000,Recurring,facebook
SOX8B8HT,장동해,MALE,35.0,174.0,68.7,,63.89099884,눔 체중감량 프로그램,completed,44780,2017-03-14 18:52:57.200000,Recurring,others
BD7ZKARG,류지수,FEMALE,25.0,161.0,47.0,,45.36175,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-26 13:29:29.928000,Recurring,facebook
T7MYI7FS,신소윤,FEMALE,27.0,163.0,61.0,57.9,45.0,눔 체중감량 프로그램,completed,112500,2017-05-24 09:53:13.352000,Recurring,others
